Anlage_Energieträger,Anlagentyp,Leistung [kW],Anlage_Inbetriebnahme,Anlage_PLZ,Anlage_Ort,Anlage_Kanton
Photovoltaik,Integrierte Anlage,20,19.12.11,6174,Sörenberg,LU
Photovoltaik,Angebaute Anlage,20,05.12.11,3323,Bäriswil,BE
Photovoltaik,Angebaute Anlage,20,28.09.12,4663,Aarburg,AG
Photovoltaik,Angebaute Anlage,20,13.12.13,1162,St-Prex,VD
Photovoltaik,Integrierte Anlage,20,21.12.11,1252,Meinier,GE
Photovoltaik,Integrierte Anlage,20,19.01.09,8722,Kaltbrunn,SG
Photovoltaik,Angebaute Anlage,20,01.09.09,8225,Siblingen,SH
Photovoltaik,Angebaute Anlage,20,23.07.09,6204,Sempach,LU
Photovoltaik,Integrierte Anlage,20,05.10.11,3144,Gasel,BE
Photovoltaik,Angebaute Anlage,20,01.12.07,1623,Semsales,FR
Photovoltaik,Angebaute Anlage,20,20.02.08,5035,Unterentfelden,AG
Photovoltaik,Angebaute Anlage,20,23.12.11,3153,Rüschegg-Ganbach,BE
Photovoltaik,Integrierte Anlage,20,02.12.09,1225,Chêne-Bourg,GE
Photovoltaik,Integrierte Anlage,20,11.05.12,3657,Schwanden,BE
Photovoltaik,Angebaute Anlage,20,30.07.10,1209,Genève,GE
Photovoltaik,Angebaute Anlage,20,08.08.11,6422,Steinen,SZ
Photovoltaik,Angebaute Anlage,20,23.08.11,5102,Rupperswil,AG
Photovoltaik,Angebaute Anlage,20,29.08.12,2544,Bettlach,SO
Photovoltaik,Angebaute Anlage,20,31.10.11,1020,Renens,VD
Photovoltaik,Angebaute Anlage,20,26.03.15,9466,Sennwald,SG
Photovoltaik,Angebaute Anlage,20,12.12.11,7415,Rodels,GR
Photovoltaik,Angebaute Anlage,20,25.07.08,9508,Weingarten,TG
Photovoltaik,Angebaute Anlage,20,09.12.13,5043,Holziken,AG
Photovoltaik,Angebaute Anlage,20.1,24.09.12,4144,Arlesheim,BL
Photovoltaik,Angebaute Anlage,20.1,30.12.10,1219,Aïre,GE
