ZE-Name,ZE-Standort,ZE-Kanton,ZE-Status,ZE-Erste Inbetriebnahme,ZE-Kote,ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
Trümpler,Oberuster,Zürich,im Normalbetrieb,1816,477.8,698330,244680
"Stadtbrücke, Lichtensteig",Lichtensteig,St.Gallen,im Normalbetrieb,1820,600.2,724450,242680
Schwanden (F.Blumer),Schwanden,Glarus,im Normalbetrieb,1828,523.8,724670,206050
Windisch,Windisch,Aargau,im Normalbetrieb,1830,333.47,659720,259240
Freienstein,Freienstein,Zürich,im Normalbetrieb,1832,360.07,686480,264850
Kollbrunn,"Kollbrunn, Gmde. Zell",Zürich,im Normalbetrieb,1832,488,700300,257350
"Säge, Murg",Murg,St.Gallen,im Normalbetrieb,1836,422,735140,219590
Ziegelbrücke,Ziegelbrücke,Glarus,im Normalbetrieb,1837,412.9,723220,221520
Haslen,Haslen,Glarus,im Normalbetrieb,1848,538.6,723370,204920
Hätzingen,Hätzingen,Glarus,im Normalbetrieb,1850,558.95,721880,202750
Hagerhüsli,Bätterkinden,Bern,im Normalbetrieb,1854,476,607350,218890
Lorzentobel 3,Baar,Zug,im Normalbetrieb,1854,456.65,683410,227780
Bätterkinden,Bätterkinden,Bern,im Normalbetrieb,1855,469.5,608000,220230
Ibach,Ibach,Schwyz,im Normalbetrieb,1859,454.8,691900,206940
Manegg,Zürich,Zürich,stillgelegt,1860,429.24,681790,243660
"Sennhof, Illnau-Effretikon","Sennhof, Illnau-Effretikon",Zürich,im Normalbetrieb,1860,476.7,699330,258100
Büttenen 1,Grellingen,Basel-Landschaft,im Normalbetrieb,1861,312.35,611680,254680
Dietfurt,Bütschwil,St.Gallen,im Normalbetrieb,1861,583.7,724080,245030
Gebenstorf,Turgi,Aargau,im Normalbetrieb,1861,331.69,660420,261130
"Spreitenbach, Galgenen Kistler","Galgenen, Vorauen",Schwyz,im Normalbetrieb,1863,460,707550,226530
Emmenhof,Derendingen,Solothurn,im Normalbetrieb,1863,442.57,610920,227110
Büttenen 2,Grellingen,Basel-Landschaft,im Normalbetrieb,1864,312.6,611680,254680
"Stroppel, Untersiggenthal",Untersiggenthal,Aargau,im Normalbetrieb,1864,332.45,660400,261640
Biberist (Papierfabrik),Biberist,Solothurn,im Normalbetrieb,1864,442.94,609890,225850
Bischofszell (Papierfabrik),Bischofszell,Thurgau,im Normalbetrieb,1864,467,735300,261800
Mühlau,Mülau bei Bazenheid Kirchberg,St.Gallen,im Normalbetrieb,1865,536.2,723730,252410
Felsen,Flums,St.Gallen,im Normalbetrieb,1866,476.14,744380,216980
Vessy,"Veyrier, Iles de Vessy",Genf,im Normalbetrieb,1867,390,502060,114970
Schindellegi,Schindellegi,Schwyz,im Normalbetrieb,1869,754,696600,225520
Frinvillier,Frinvillier,Bern,im Normalbetrieb,1869,518.4,585980,224170
Maigrauge-Centrale de dotation,"Fribourg, Maigrauge",Freiburg,im Normalbetrieb,1870,546.5,579180,183100
Rotzloch,"Stansstad, Rotzloch",Nidwalden,im Normalbetrieb,1872,437.46,667920,201920
Bürglen (Kanal),Bürglen,Thurgau,im Normalbetrieb,1872,443.9,728670,267950
"Perlen 1 (WTA HF, in Buchrain)","Perlen, Buchrain",Luzern,im Normalbetrieb,1873,412.37,669760,217760
"Perlen 2 (WTA PF, in Root)","Perlen, Root",Luzern,im Normalbetrieb,1875,415.6,670550,218210
Bözingen,Bözingen,Bern,im Normalbetrieb,1876,447.94,586950,222630
"Untere Emmengasse, Luterbach",Luterbach,Solothurn,im Normalbetrieb,1876,433.7,610650,228190
Linthal (Spinnerei Linthal),Linthal,Glarus,im Normalbetrieb,1877,636.82,718900,198400
Letten,Zürich,Zürich,im Normalbetrieb,1877,408.1,682580,249040
Mels (Halde),Mels,St.Gallen,im Normalbetrieb,1878,507,750120,212280
"Model, Weinfelden",Weinfelden,Thurgau,im Normalbetrieb,1878,426.02,725190,269120
Rondchâtel,"Péry, Rondchâtel",Bern,im Normalbetrieb,1883,529.37,585680,224470
Ingenbohl,Brunnen,Schwyz,stillgelegt,1885,443.3,689230,206620
Thorenberg,Littau,Luzern,im Normalbetrieb,1886,457.1,661500,211600
Les Moyats,"Brot-Dessous, Les Moyats",Neuenburg,im Normalbetrieb,1887,629.8,548080,200430
Taulan,"Les Planches, Taulan",Waadt,im Normalbetrieb,1887,441.24,560020,142640
Luterbach,Luterbach,Solothurn,im Normalbetrieb,1888,430.47,610310,229260
