Location,Production,Startup,Lat,Unnamed: 5, Lat, Lng,Unnamed: 3
Rueras,1.5,1979.0,,,46.67497720000001,8.7502117,
Sedrun,2.0,1945.0,,,46.679598,8.7737237,
Sedrun,150.0,1968.0,,,46.679598,8.7737237,
Sedrun,0.75,1968.0,,,46.679598,8.7737237,
Tavanasa,180.0,1962.0,,,46.754091700000004,9.0623319,
Tavanasa,4.0,1946.0,,,46.754091700000004,9.0623319,
Tavanasa,12.5,1960.0,,,46.754091700000004,9.0623319,
Somvix,24.87,1947.0,,,46.72786079999999,8.938301599999997,
Trun,4.23,1999.0,,,46.743152200000004,8.991023,
Trun,0.6,1943.0,,,46.743152200000004,8.991023,
"Dardin, Casut",0.4,2008.0,,,,,
"Obersaxen, St. Joseph",4.26,2017.0,,,,,
Waltensburg,5.1,1973.0,,,46.77672130000001,9.117075400000001,
Ilanz,34.5,1990.0,,,46.77421,9.20474,
Ilanz,49.5,1992.0,,,46.77421,9.20474,
"Vals, Staumauer Zervreila",22.0,1958.0,,,,,
Safien Platz,90.0,1957.0,,,46.681644399999996,9.314830400000002,
Rothenbrunnen,135.0,1958.0,,,46.768246600000005,9.427283500000001,
Rothenbrunnen,26.0,1949.0,,,46.768246600000005,9.427283500000001,
Rothenbrunnen,44.0,1976.0,,,46.768246600000005,9.427283500000001,
"St. Martin, Lunschania",0.94,1996.0,,,,,
Sagogn,2.82,1963.0,,,46.7923608,9.25738,
Flims,2.62,2012.0,,,46.8366348,9.284692300000001,
Flims,0.64,2012.0,,,46.8366348,9.284692300000001,
Flims,0.3,2013.0,,,46.8366348,9.284692300000001,
Flims,1.73,1904.0,,,46.8366348,9.284692300000001,
Flims,0.88,2011.0,,,46.8366348,9.284692300000001,
Flims,0.28,2011.0,,,46.8366348,9.284692300000001,
Trin Mulin,1.6,1907.0,,,46.834109999999995,9.340810000000001,
Trin,6.48,1944.0,,,46.82830449999999,9.362437199999999,
Ausserferrera,180.0,1962.0,,,46.5571049,9.4392882,
Ausserferrera,4.4,1963.0,,,46.5571049,9.4392882,
Nufenen,0.3,2009.0,,,46.5394932,9.2433569,
Splügen,1.8,2012.0,,,,,
Sufers,0.71,1990.0,,,46.5705798,9.366444300000001,
Andeer,220.0,1962.0,,,46.6034023,9.4263657,
Andeer,1.6,1968.0,,,46.6034023,9.4263657,
"Sils, Nisellas",247.0,1961.0,,,,,
Thusis,4.6,1968.0,,,46.6960141,9.439494,
Preda bei Bergün,0.9,1903.0,,,,,
"Davos, Frauenkirch",0.7,1894.0,,,,,
"Davos, Glaris",1.13,1899.0,,,,,
Filisur,65.0,1967.0,,,46.67341529999999,9.686377,
Tiefencastel,24.0,1989.0,,,46.6618506,9.5771616,
Tiefencastel,52.0,1970.0,,,46.6618506,9.5771616,
Tiefencastel,26.0,1949.0,,,46.6618506,9.5771616,
Bivio,0.65,1936.0,,,46.4677669,9.6504508,
Tinizong-Rona,7.0,2016.0,,,46.5831572,9.616736,
Tinizong,69.5,1954.0,,,46.5831572,9.616736,
Riom - Parsonz,1.59,2011.0,,,46.5974706,9.5731025,
Vaz/Obervaz,7.3,1920.0,,,46.72594,9.55765,
Sils im Domleschg,26.0,1910.0,,,46.7019286,9.4555982,
Domat-Ems,19.06,1962.0,,,46.8336355,9.4473545,
Litzirüti,5.0,1969.0,,,,,
"Lüen, Tewald",3.55,2013.0,,,,,
"Lüen, Tewald",7.2,1914.0,,,,,
"Chur, Sand",9.4,1947.0,,,,,
"Chur, Sand",0.71,1892.0,,,,,
"Churwalden, Bärgliwäg",0.4,2018.0,,,,,
Klosters,16.5,1925.0,,,46.8699029,9.8828697,
Klosters-Dorf,6.1,1928.0,,,46.8836044,9.874831599999998,
Küblis,45.6,1922.0,,,,,
Seewis,11.33,2011.0,,,46.9905027,9.6372642,
Landquart-Fabriken,0.5,1901.0,,,46.9563994,9.565793300000001,
Landquart-Fabriken,0.71,1988.0,,,46.9563994,9.565793300000001,
Vadura,279.9,1977.0,,,46.9574335,9.484879800000002,
Bad Ragaz,90.0,1978.0,,,47.0034141,9.5011062,
Ragaz,0.7,1892.0,,,47.0034141,9.5011062,
Jenins,0.46,1997.0,,,47.00050039999999,9.5577461,
Vilters,1.2,1982.0,,,47.029998799999994,9.4484028,
"Wangs, Gaschiels",0.7,1950.0,,,,,
Sevelen,1.14,1897.0,,,47.1218764,9.486948,
"Buchs, Waldrand",0.98,1987.0,,,,,
"Buchs, Steig - Aspenhölzli",0.69,1903.0,,,,,
"Buchs, Altendorf",3.56,1928.0,,,,,
"Grabs, Bannwald",0.44,1959.0,,,,,
"Grabs, Löchli",1.43,1899.0,,,,,
Sennwald,1.22,1912.0,,,47.2612316,9.5042435,
Lienz,0.38,1906.0,,,47.377463299999995,9.5469133,
"Oberriet, Blatten",0.38,1906.0,,,,,
Montlingen,0.38,1906.0,,,47.334162400000004,9.584806599999999,
"Heiden, Hinterlochen",0.72,1902.0,,,,,
"Untereggen, Lochmüli",0.63,1898.0,,,,,
Steinach,1.2,2014.0,,,47.503209999999996,9.44208,
Schaffhausen,28.9,1964.0,,,47.6958897,8.6380489,
Schaffhausen,5.0,1909.0,,,47.6958897,8.6380489,
Neuhausen,5.6,1951.0,,,47.6837423,8.612609800000001,
Rheinau,36.8,1956.0,,,47.6433,8.60117,
"Nesslau, unterer Giessenfall",1.9,1896.0,,,,,
"Nesslau, Schneit",1.25,1909.0,,,,,
Krummenau,0.84,1945.0,,,47.2262651,9.1988648,
"Trempel, Ebnat-Kappel",1.8,1925.0,,,,,
Ebnat - Kappel,0.86,1903.0,,,47.26548500000001,9.1235471,
Lichtensteig,0.57,1820.0,,,47.3239036,9.0876844,
Bütschwil,0.98,1861.0,,,,,
Bütschwil,0.98,1917.0,,,,,
Mülau bei Bazenheid Kirchberg,1.37,1865.0,,,,,
Glattmüli,0.35,1893.0,,,,,
Bischofszell,1.02,1864.0,,,47.492703399999996,9.2436496,
Rässenaueli,2.5,1905.0,,,,,
Urnäsch,0.38,1903.0,,,,,
Urnäsch,0.36,1907.0,,,,,
St. Gallen,15.0,1900.0,,,47.424481799999995,9.376717300000001,
St. Gallen,0.3,2008.0,,,47.424481799999995,9.376717300000001,
"St. Gallen, Sittertal",0.46,1945.0,,,,,
Wittenbach,0.48,1895.0,,,47.4598793,9.3899899,
Schönenberg,1.7,2011.0,,,,,
Schönenberg,2.8,1895.0,,,,,
Schönenberg an der Thur,2.3,2002.0,,,,,
Bürglen,1.1,1872.0,,,,,
Bürglen,0.44,1956.0,,,,,
Bürglen,0.99,2016.0,,,,,
Bürglen,0.7,1947.0,,,,,
Bürglen,20.8,1967.0,,,,,
Bürglen,1.5,1895.0,,,,,
Weinfelden,0.4,1878.0,,,47.5660299,9.1084456,
Weinfelden,0.4,1948.0,,,47.5660299,9.1084456,
"Weinfelden, untere Widen",0.83,1989.0,,,,,
Matzingen,0.34,1960.0,,,47.5195701,8.934054999999997,
"Frauenfeld, Schlossmühlestr.",0.31,2012.0,,,,,
"Kollbrunn, Gmde. Zell",0.37,1832.0,,,,,
"Sennhof, Illnau-Effretikon",0.47,1860.0,,,,,
Neftenbach,0.35,1994.0,,,47.526653700000004,8.6688227,
"Hard, Wülflingen in Winterthur",0.58,2015.0,,,,,
Freienstein,0.6,1832.0,,,47.5313791,8.585174400000001,
Oberuster,0.42,1816.0,,,47.34557,8.729650600000001,
Zweidlen,46.9,1920.0,,,47.562501,8.470274,
Reckingen,39.5,1941.0,,,46.46951729999999,8.2451355,
Reckingen,2.13,1990.0,,,46.46951729999999,8.2451355,
Hallau,0.42,1895.0,,,47.6967786,8.457412199999998,
Leibstadt,28.4,2009.0,,,47.5899397,8.173178,
Albbruck,84.9,1933.0,,,47.59465729999999,8.136298700000001,
Laufenburg,110.0,1914.0,,,47.502947999999996,8.0223883,
Bad Säckingen,73.6,1966.0,,,,,
Schwörstadt,120.0,1931.0,,,,,
"Schwörstaddt, KW Ryburg-Schw.",0.35,2014.0,,,,,
Rheinfelden,100.0,1898.0,,,47.55219,7.792291400000001,
Rheinfelden,1.8,2011.0,,,47.55219,7.792291400000001,
Augst,35.0,1912.0,,,47.53389,7.721349999999998,
Grenzach-Wyhlen,38.5,1912.0,,,47.5523554,7.658088100000001,
Birsfelden,100.0,1955.0,,,47.5516505,7.627249900000002,
Gorges de Court,0.92,1895.0,,,47.2589145,7.345121400000001,
Choindez,0.58,1914.0,,,47.32071,7.3804500000000015,
"Undervelier, Blanches-Fontaine",0.32,1897.0,,,,,
"Chez Theurillat, Haute-Sorne",1.03,1920.0,,,,,
Soyhières,0.52,1905.0,,,,,
Laufen,0.35,1997.0,,,47.4204213,7.500487400000001,
Laufen,0.72,1949.0,,,47.4204213,7.500487400000001,
Zwingen,0.38,1913.0,,,47.43715659999999,7.530886600000001,
Nenzlingen,0.34,1942.0,,,47.447616,7.5619486999999985,
Grellingen,0.98,1945.0,,,47.4409994,7.5905459,
Grellingen,0.5,1864.0,,,47.4409994,7.5905459,
Grellingen,0.55,1861.0,,,47.4409994,7.5905459,
Dornach,1.54,1996.0,,,47.479049100000005,7.6170412,
Münchenstein,1.07,1998.0,,,,,
Barrage de Kembs,2.85,1966.0,,,47.7098922,7.503172800000001,
Barrage de Kembs,8.4,2016.0,,,47.7098922,7.503172800000001,
"Kembs, Loechle",155.0,1932.0,,,,,
"Grimsel, Chessituren",388.0,1981.0,,,,,
"Grimsel, Sommerloch u.Hospiz",33.6,1954.0,,,,,
"Grimsel, Sommerloch, u.Hospiz",32.2,1974.0,,,,,
Handegg,44.8,1932.0,,,46.6125128,8.3068901,
Handegg,215.6,1950.0,,,46.6125128,8.3068901,
Handegg,55.1,1976.0,,,46.6125128,8.3068901,
Handegg,0.0,1976.0,,,46.6125128,8.3068901,
"Guttannen, Blatti",1.29,2016.0,,,,,
"Innertkirchen, Underürbach",2.95,2016.0,,,,,
Innertkirchen,393.5,1943.0,,,46.70517659999999,8.227400999999999,
Innertkirchen,54.8,1967.0,,,46.70517659999999,8.227400999999999,
"Underi-Furen, Innertkirchen",9.6,1961.0,,,,,
"Underi-Furen, Innertkirchen",0.0,1961.0,,,,,
Hopflauenen,81.6,1967.0,,,46.71429999999999,8.27834,
Hopflauenen,5.4,1967.0,,,46.71429999999999,8.27834,
"Meiringen, Haselholz",1.65,1950.0,,,,,
